PRODUCTLINE,Quarter,Month,Year,QUANTITYORDERED,SALES,
Classic Cars,Q4,Dec,2004,48,2624.64,
Classic Cars,Q1,Jan,2005,39,4046.25,
Classic Cars,Q1,Feb,2005,34,4846.7,
Classic Cars,Q1,Mar,2005,32,3370.56,
Classic Cars,Q2,Apr,2005,64,9661.44,
Classic Cars,Q2,May,2005,19,2764.88,
Classic Cars,Q1,Jan,2003,42,5398.26,
Classic Cars,Q2,Apr,2003,31,4305.28,
Classic Cars,Q2,May,2003,22,3347.74,
Classic Cars,Q3,Jul,2003,26,3188.12,
Classic Cars,Q3,Sep,2003,20,3191.2,
Classic Cars,Q4,Oct,2003,21,3536.82,
Classic Cars,Q4,Nov,2003,33,5362.83,
Classic Cars,Q4,Nov,2003,28,3433.36,
Classic Cars,Q4,Nov,2003,26,4263.74,
Classic Cars,Q4,Dec,2003,31,4076.19,
Classic Cars,Q1,Feb,2004,48,7020.48,
Classic Cars,Q1,Mar,2004,50,6426.5,
Classic Cars,Q2,May,2004,28,4591.72,
Classic Cars,Q2,Jun,2004,26,4033.38,
Classic Cars,Q3,Jul,2004,32,4302.08,
Classic Cars,Q3,Aug,2004,44,7020.64,
Classic Cars,Q3,Sep,2004,30,3855.9,
Classic Cars,Q4,Oct,2004,38,6680.78,
Classic Cars,Q4,Oct,2004,40,6678,
Classic Cars,Q4,Nov,2004,46,2851.54,
Classic Cars,Q4,Nov,2004,26,3188.12,
Classic Cars,Q4,Nov,2004,27,4428,
Classic Cars,Q4,Dec,2004,43,5780.92,
Classic Cars,Q1,Jan,2005,35,2297.05,
Classic Cars,Q1,Feb,2005,37,6231.54,
Classic Cars,Q1,Mar,2005,37,1735.3,
Classic Cars,Q2,May,2005,27,4427.73,
Classic Cars,Q2,May,2005,38,5894.94,
Classic Cars,Q1,Mar,2003,33,5265.15,
Classic Cars,Q2,May,2003,42,7599.9,
Classic Cars,Q3,Jul,2003,42,8008.56,
Classic Cars,Q3,Sep,2003,48,9245.76,
Classic Cars,Q4,Oct,2003,41,8296.35,
Classic Cars,Q4,Nov,2003,30,5019.9,
Classic Cars,Q4,Nov,2003,27,5411.07,
Classic Cars,Q4,Nov,2003,21,3840.9,
Classic Cars,Q4,Dec,2003,20,3930.4,
Classic Cars,Q1,Jan,2004,41,7498.9,
Classic Cars,Q1,Feb,2004,27,4517.91,
Classic Cars,Q2,Apr,2004,28,5774.72,
Classic Cars,Q2,Jun,2004,24,3922.56,
Classic Cars,Q3,Jul,2004,44,9160.36,
Classic Cars,Q3,Aug,2004,50,9631,
Classic Cars,Q3,Aug,2004,21,3432.24,
Classic Cars,Q4,Oct,2003,33,5521.89,
Classic Cars,Q4,Oct,2004,33,6934.62,
Classic Cars,Q4,Nov,2004,31,6876.11,
Classic Cars,Q4,Nov,2004,41,2930.27,
Classic Cars,Q4,Nov,2004,45,3584.25,
Classic Cars,Q1,Jan,2005,33,2817.87,
Classic Cars,Q1,Feb,2005,45,3420,
Classic Cars,Q1,Mar,2005,26,2575.04,
Classic Cars,Q2,May,2005,12,1961.28,
Classic Cars,Q1,Feb,2003,41,8690.36,
Classic Cars,Q2,Apr,2003,33,6034.38,
Classic Cars,Q2,Jun,2003,46,11279.2,
Classic Cars,Q3,Aug,2003,33,8023.29,
Classic Cars,Q3,Sep,2003,20,4904,
Classic Cars,Q4,Oct,2003,44,8594.52,
Classic Cars,Q4,Nov,2003,33,7474.5,
Classic Cars,Q4,Nov,2003,21,3883.74,
Classic Cars,Q4,Nov,2003,47,8887.7,
Classic Cars,Q1,Jan,2004,46,8602.92,
Classic Cars,Q1,Feb,2004,32,7181.44,
Classic Cars,Q1,Mar,2004,42,8378.58,
Classic Cars,Q2,May,2004,44,10606.2,
Classic Cars,Q3,Jul,2004,35,5818.4,
Classic Cars,Q3,Aug,2004,41,7071.27,
Classic Cars,Q3,Sep,2004,46,8411.56,
Classic Cars,Q4,Oct,2004,31,6570.76,
Classic Cars,Q4,Oct,2004,38,7975.44,
Classic Cars,Q4,Nov,2004,42,2688,
Classic Cars,Q4,Nov,2004,33,1888.26,
Classic Cars,Q4,Nov,2004,48,2513.28,
Classic Cars,Q4,Dec,2004,42,4764.48,
Classic Cars,Q1,Jan,2005,32,3560.64,
Classic Cars,Q1,Feb,2005,34,3823.64,
Classic Cars,Q1,Mar,2005,33,2280.96,
Classic Cars,Q2,May,2005,36,8677.8,
Trucks and Buses,Q1,Jan,2003,27,3394.98,
Trucks and Buses,Q1,Mar,2003,21,3415.44,
Trucks and Buses,Q2,May,2003,21,2439.57,
Trucks and Buses,Q3,Jul,2003,38,4829.8,
Trucks and Buses,Q3,Sep,2003,30,4100.1,
Trucks and Buses,Q4,Oct,2003,49,6563.06,
Trucks and Buses,Q4,Nov,2003,43,6817.22,
Trucks and Buses,Q4,Nov,2003,41,6163.94,
Trucks and Buses,Q4,Nov,2003,38,4933.92,
Trucks and Buses,Q4,Dec,2003,28,4056.36,
Trucks and Buses,Q1,Feb,2004,43,5759.42,
Trucks and Buses,Q1,Mar,2004,25,3451,
Trucks and Buses,Q2,May,2004,38,5920.4,
Trucks and Buses,Q2,Jun,2004,41,6668.24,
Trucks and Buses,Q3,Jul,2004,28,4094.72,
Trucks and Buses,Q3,Aug,2004,25,2938.5,
Trucks and Buses,Q3,Sep,2004,41,6387.8,
Trucks and Buses,Q4,Oct,2004,39,6396,
Trucks and Buses,Q4,Oct,2004,21,2669.1,
Trucks and Buses,Q4,Nov,2004,27,4784.13,
Trucks and Buses,Q4,Nov,2004,33,3273.93,
Trucks and Buses,Q4,Nov,2004,29,3586.43,
Trucks and Buses,Q4,Dec,2004,49,5960.36,
Trucks and Buses,Q1,Jan,2005,49,8470.14,
Trucks and Buses,Q1,Feb,2005,20,2952,
Trucks and Buses,Q1,Mar,2005,39,2464.8,
Trucks and Buses,Q2,May,2005,40,6232,
Trucks and Buses,Q2,May,2005,49,7969.36,
Motorcycles,Q1,Feb,2003,21,3036.6,
Motorcycles,Q2,May,2003,50,8284,
Motorcycles,Q3,Jul,2003,20,2711.2,
Motorcycles,Q3,Aug,2003,49,8339.8,
Motorcycles,Q4,Oct,2003,38,6238.84,
Motorcycles,Q4,Nov,2003,35,4639.25,
Motorcycles,Q4,Nov,2003,40,6747.6,
Motorcycles,Q4,Nov,2003,28,4512.48,
Motorcycles,Q4,Dec,2003,25,4029,
Motorcycles,Q1,Jan,2004,36,4771.8,
Motorcycles,Q1,Feb,2004,43,6087.94,
Motorcycles,Q2,Apr,2004,32,4193.28,
Motorcycles,Q2,May,2004,46,7552.28,
Motorcycles,Q2,Jun,2004,48,6434.4,
Motorcycles,Q3,Aug,2004,43,5181.5,
Motorcycles,Q3,Aug,2004,49,6863.92,
Motorcycles,Q3,Sep,2004,24,4157.04,
Motorcycles,Q4,Oct,2004,26,4660.24,
Motorcycles,Q4,Nov,2004,30,4111.8,
Motorcycles,Q4,Nov,2004,24,3542.64,
Motorcycles,Q4,Nov,2004,55,8118.55,
Motorcycles,Q1,Jan,2005,22,3877.06,
Motorcycles,Q1,Feb,2005,49,3867.08,
Motorcycles,Q1,Mar,2005,44,5951.44,
Motorcycles,Q2,Apr,2005,66,8648.64,
Motorcycles,Q2,May,2005,21,3447.78,
Classic Cars,Q1,Jan,2003,34,5958.5,
Classic Cars,Q2,Apr,2003,43,5911.64,
Classic Cars,Q2,Jun,2003,46,7366.44,
Classic Cars,Q3,Aug,2003,33,4985.64,
Classic Cars,Q3,Sep,2003,42,5393.64,
Classic Cars,Q4,Oct,2003,34,4880.02,
Classic Cars,Q4,Nov,2003,47,8378.69,
Classic Cars,Q4,Nov,2003,33,4038.21,
Classic Cars,Q4,Nov,2003,24,3807.12,
Classic Cars,Q1,Jan,2004,26,3142.36,
Classic Cars,Q1,Feb,2004,30,4713.6,
Classic Cars,Q1,Mar,2004,43,7016.31,
Classic Cars,Q2,May,2004,25,4381.25,
Classic Cars,Q3,Jul,2004,27,4283.01,
Classic Cars,Q3,Aug,2004,27,4364.82,
Classic Cars,Q3,Sep,2004,24,4242.24,
Classic Cars,Q4,Oct,2004,34,4982.7,
Classic Cars,Q4,Oct,2004,46,6393.54,
Classic Cars,Q4,Nov,2004,27,1466.91,
Classic Cars,Q4,Nov,2004,33,4059.33,
Classic Cars,Q4,Nov,2004,47,4801.52,
Classic Cars,Q4,Dec,2004,49,2711.66,
Classic Cars,Q1,Jan,2005,40,5862,
Classic Cars,Q1,Feb,2005,37,4071.85,
Classic Cars,Q2,May,2005,47,8236.75,
Classic Cars,Q1,Mar,2003,45,6130.35,
Classic Cars,Q2,May,2003,37,3693.34,
Classic Cars,Q3,Jul,2003,48,6031.68,
Classic Cars,Q3,Sep,2003,31,3494.94,
Classic Cars,Q4,Oct,2003,46,5294.14,
Classic Cars,Q4,Nov,2003,47,5464.69,
Classic Cars,Q4,Nov,2003,28,2860.76,
Classic Cars,Q4,Nov,2003,40,5590,
Classic Cars,Q4,Dec,2003,20,2254.8,
Classic Cars,Q1,Jan,2004,39,4946.76,
Classic Cars,Q1,Feb,2004,25,2495.5,
Classic Cars,Q2,Apr,2004,29,3167.38,
Classic Cars,Q2,Jun,2004,22,2402.84,
Classic Cars,Q3,Jul,2004,22,2454.54,
Classic Cars,Q3,Aug,2004,47,5464.69,
Classic Cars,Q3,Aug,2004,45,4756.5,
Classic Cars,Q4,Oct,2003,29,3984.6,
Classic Cars,Q4,Oct,2004,24,3100.32,
Classic Cars,Q4,Nov,2004,35,4850.3,
Classic Cars,Q4,Nov,2004,46,3846.98,
Classic Cars,Q4,Nov,2004,44,4220.92,
Classic Cars,Q1,Jan,2005,34,3288.82,
Classic Cars,Q1,Feb,2005,35,3987.2,
Classic Cars,Q1,Mar,2005,25,1809.5,
Classic Cars,Q2,May,2005,10,1092.2,
Classic Cars,Q1,Feb,2003,29,4566.05,
Classic Cars,Q2,Apr,2003,39,5938.14,
Classic Cars,Q2,Jun,2003,42,8138.76,
Classic Cars,Q3,Aug,2003,46,9470.94,
Classic Cars,Q3,Sep,2003,49,7036.89,
Classic Cars,Q4,Oct,2003,27,5559.03,
Classic Cars,Q4,Nov,2003,50,7872.5,
Classic Cars,Q4,Nov,2003,43,7886.2,
Classic Cars,Q4,Nov,2003,38,7232.16,
Classic Cars,Q1,Jan,2004,20,3114.4,
Classic Cars,Q1,Feb,2004,27,5045.22,
Classic Cars,Q1,Mar,2004,49,6952.12,
Classic Cars,Q2,May,2004,27,4157.73,
Classic Cars,Q3,Jul,2004,39,7962.24,
Classic Cars,Q3,Aug,2004,24,3778.8,
Classic Cars,Q3,Sep,2004,45,8253,
Classic Cars,Q4,Oct,2004,20,3633.4,
Classic Cars,Q4,Oct,2004,36,6913.8,
Classic Cars,Q4,Nov,2004,24,2583.6,
Classic Cars,Q4,Nov,2004,49,3105.62,
Classic Cars,Q4,Dec,2004,26,4408.56,
Classic Cars,Q4,Dec,2004,49,3042.41,
Classic Cars,Q1,Jan,2005,34,5941.5,
Classic Cars,Q1,Feb,2005,34,3241.9,
Classic Cars,Q1,Mar,2005,33,6109.29,
Classic Cars,Q2,May,2005,22,3387.78,
Classic Cars,Q1,Mar,2003,39,3485.82,
Classic Cars,Q2,May,2003,32,2042.88,
Classic Cars,Q3,Jul,2003,24,1800.24,
Classic Cars,Q3,Sep,2003,21,1340.64,
Classic Cars,Q4,Oct,2003,24,1762.08,
Classic Cars,Q4,Nov,2003,36,2298.24,
Classic Cars,Q4,Nov,2003,20,1628,
Classic Cars,Q4,Nov,2003,30,1939.2,
Classic Cars,Q4,Dec,2003,44,3651.56,
Classic Cars,Q1,Jan,2004,28,2591.96,
Classic Cars,Q1,Feb,2004,37,2864.17,
Classic Cars,Q2,Apr,2004,20,1484.2,
Classic Cars,Q2,Jun,2004,25,2254.25,
Classic Cars,Q3,Jul,2004,35,2681.35,
Classic Cars,Q3,Aug,2004,38,3184.02,
Classic Cars,Q3,Aug,2004,41,2846.63,
Classic Cars,Q4,Oct,2003,22,1685.42,
Classic Cars,Q4,Oct,2004,49,3988.6,
Classic Cars,Q4,Nov,2004,38,2789.96,
Classic Cars,Q4,Nov,2004,33,3607.56,
Classic Cars,Q4,Nov,2004,36,3368.16,
Classic Cars,Q1,Jan,2005,34,2775.08,
Classic Cars,Q1,Feb,2005,24,1627.92,
Classic Cars,Q1,Mar,2005,36,2529.36,
Classic Cars,Q2,May,2005,34,3065.78,
Trucks and Buses,Q1,Jan,2003,41,4615.78,
Trucks and Buses,Q2,Apr,2003,46,5723.78,
Trucks and Buses,Q2,Jun,2003,24,2559.6,
Trucks and Buses,Q3,Aug,2003,21,2140.11,
Trucks and Buses,Q3,Sep,2003,24,3327.6,
Trucks and Buses,Q4,Oct,2003,48,6825.6,
Trucks and Buses,Q4,Nov,2003,26,3543.28,
Trucks and Buses,Q4,Nov,2003,37,4516.22,
Trucks and Buses,Q4,Nov,2003,49,6445.46,
Trucks and Buses,Q4,Dec,2003,34,3384.36,
Trucks and Buses,Q1,Feb,2004,48,4891.68,
Trucks and Buses,Q1,Mar,2004,36,4521.96,
Trucks and Buses,Q2,May,2004,46,5069.66,
Trucks and Buses,Q2,Jun,2004,46,6541.2,
Trucks and Buses,Q3,Jul,2004,31,3012.27,
Trucks and Buses,Q3,Aug,2004,41,5247.18,
Trucks and Buses,Q3,Sep,2004,21,2214.87,
Trucks and Buses,Q4,Oct,2004,38,4773.18,
Trucks and Buses,Q4,Oct,2004,45,6185.7,
Trucks and Buses,Q4,Nov,2004,26,1517.88,
Trucks and Buses,Q4,Nov,2004,38,6372.6,
Trucks and Buses,Q4,Dec,2004,48,5232.96,
Trucks and Buses,Q4,Dec,2004,42,2694.72,
Trucks and Buses,Q1,Jan,2005,49,1749.79,
Trucks and Buses,Q1,Feb,2005,32,2130.56,
Trucks and Buses,Q2,May,2005,54,5951.34,
Trucks and Buses,Q2,May,2005,33,4692.6,
Classic Cars,Q1,Mar,2003,36,3731.04,
Classic Cars,Q2,May,2003,20,2142,
Classic Cars,Q3,Jul,2003,29,2838.81,
Classic Cars,Q3,Sep,2003,33,3230.37,
Classic Cars,Q4,Oct,2003,50,5182,
Classic Cars,Q4,Nov,2003,41,4391.1,
Classic Cars,Q4,Nov,2003,36,4477.32,
Classic Cars,Q4,Nov,2003,27,3544.56,
Classic Cars,Q4,Dec,2003,47,5195.85,
Classic Cars,Q1,Jan,2004,33,4180.44,
Classic Cars,Q1,Feb,2004,21,2684.43,
Classic Cars,Q2,Apr,2004,21,1958.88,
Classic Cars,Q2,Jun,2004,41,4910.57,
Classic Cars,Q3,Jul,2004,40,4468.4,
Classic Cars,Q3,Aug,2004,28,3127.88,
Classic Cars,Q3,Aug,2004,23,2675.13,
Classic Cars,Q4,Oct,2003,23,2807.61,
Classic Cars,Q4,Oct,2004,25,2504.75,
Classic Cars,Q4,Nov,2004,24,2984.88,
Classic Cars,Q4,Nov,2004,39,2524.86,
Classic Cars,Q4,Nov,2004,55,4136,
Classic Cars,Q1,Jan,2005,46,4068.7,
Classic Cars,Q1,Feb,2005,50,5182,
Classic Cars,Q1,Mar,2005,47,5243.79,
Classic Cars,Q2,Apr,2005,97,9048.16,
Classic Cars,Q2,May,2005,32,3832.64,
Trucks and Buses,Q1,Jan,2003,35,3920,
Trucks and Buses,Q1,Mar,2003,49,4916.66,
Trucks and Buses,Q2,May,2003,38,3857,
Trucks and Buses,Q3,Jul,2003,32,4181.44,
Trucks and Buses,Q3,Sep,2003,34,4641,
Trucks and Buses,Q4,Oct,2003,36,3570.12,
Trucks and Buses,Q4,Nov,2003,48,4480.32,
Trucks and Buses,Q4,Nov,2003,21,2033.64,
Trucks and Buses,Q4,Nov,2003,21,1960.14,
Trucks and Buses,Q4,Dec,2003,34,3966.78,
Trucks and Buses,Q1,Jan,2004,46,5152,
Trucks and Buses,Q1,Mar,2004,32,3360,
Trucks and Buses,Q2,May,2004,29,3451,
Trucks and Buses,Q2,Jun,2004,41,5453,
Trucks and Buses,Q3,Jul,2004,43,4164.12,
Trucks and Buses,Q3,Aug,2004,24,2800.08,
Trucks and Buses,Q3,Sep,2004,41,4687.94,
Trucks and Buses,Q4,Oct,2004,46,4508,
Trucks and Buses,Q4,Oct,2004,32,4181.44,
Trucks and Buses,Q4,Nov,2004,22,2251.04,
Trucks and Buses,Q4,Nov,2004,29,1167.25,
Trucks and Buses,Q4,Nov,2004,42,2083.2,
Trucks and Buses,Q4,Dec,2004,39,3822,
Trucks and Buses,Q1,Jan,2005,27,3911.49,
Trucks and Buses,Q1,Feb,2005,48,4704,
Trucks and Buses,Q1,Mar,2005,29,2467.9,
Trucks and Buses,Q2,May,2005,27,3213,
Trucks and Buses,Q2,May,2005,54,7182,
Classic Cars,Q1,Mar,2003,26,4379.18,
Classic Cars,Q2,May,2003,34,5004.8,
Classic Cars,Q3,Jul,2003,25,3644.75,
Classic Cars,Q3,Sep,2003,23,2702.04,
Classic Cars,Q4,Oct,2003,28,3764.88,
Classic Cars,Q4,Nov,2003,35,4508,
Classic Cars,Q4,Nov,2003,44,5418.16,
Classic Cars,Q4,Nov,2003,22,3300.66,
Classic Cars,Q4,Dec,2003,42,6182.4,
Classic Cars,Q1,Jan,2004,29,4186.73,
Classic Cars,Q1,Feb,2004,32,4529.28,
Classic Cars,Q2,Apr,2004,41,5628.89,
Classic Cars,Q2,Jun,2004,26,3054.48,
Classic Cars,Q3,Jul,2004,21,2526.51,
Classic Cars,Q3,Aug,2004,34,4667.86,
Classic Cars,Q3,Aug,2004,41,6499.32,
Classic Cars,Q4,Oct,2003,37,5917.78,
Classic Cars,Q4,Oct,2004,37,6231.91,
Classic Cars,Q4,Nov,2004,41,5803.14,
Classic Cars,Q4,Nov,2004,46,6434.02,
Classic Cars,Q4,Nov,2004,40,6454.4,
Classic Cars,Q4,Dec,2004,43,4196.8,
Classic Cars,Q1,Jan,2005,30,2611.8,
Classic Cars,Q1,Feb,2005,35,5895.05,
Classic Cars,Q1,Mar,2005,36,3375.72,
Classic Cars,Q2,Apr,2005,61,8374.69,
Classic Cars,Q2,May,2005,38,4464.24,
Vintage Cars,Q1,Jan,2003,39,4808.31,
Vintage Cars,Q1,Mar,2003,33,3288.78,
Vintage Cars,Q2,May,2003,32,3254.72,
Vintage Cars,Q3,Jul,2003,31,3184.94,
Vintage Cars,Q3,Sep,2003,50,5907.5,
Vintage Cars,Q4,Oct,2003,48,4389.12,
Vintage Cars,Q4,Nov,2003,43,5036.16,
Vintage Cars,Q4,Nov,2003,25,2183.25,
Vintage Cars,Q4,Nov,2003,28,3106.88,
Vintage Cars,Q4,Dec,2003,36,3735.72,
Vintage Cars,Q1,Jan,2004,27,2413.26,
Vintage Cars,Q1,Mar,2004,25,2953.75,
Vintage Cars,Q2,Apr,2004,40,4684.8,
Vintage Cars,Q2,Jun,2004,34,3248.7,
Vintage Cars,Q3,Aug,2004,50,5239.5,
Vintage Cars,Q3,Sep,2004,38,4567.98,
Vintage Cars,Q4,Oct,2004,37,3535.35,
Vintage Cars,Q4,Oct,2004,43,3843.34,
Vintage Cars,Q4,Nov,2004,43,3710.9,
Vintage Cars,Q4,Nov,2004,46,4375.98,
Vintage Cars,Q4,Nov,2004,42,1516.62,
Vintage Cars,Q4,Dec,2004,50,2509,
Vintage Cars,Q1,Jan,2005,44,9240.44,
Vintage Cars,Q1,Feb,2005,27,2515.32,
Vintage Cars,Q1,Mar,2005,35,5548.9,
Vintage Cars,Q2,May,2005,51,4873.05,
Vintage Cars,Q1,Jan,2003,41,2055.74,
Vintage Cars,Q1,Mar,2003,48,2354.88,
Vintage Cars,Q2,May,2003,42,2309.58,
Vintage Cars,Q3,Jul,2003,49,2113.37,
Vintage Cars,Q3,Sep,2003,30,1746.6,
Vintage Cars,Q4,Oct,2003,45,2304.45,
Vintage Cars,Q4,Nov,2003,48,2122.08,
Vintage Cars,Q4,Nov,2003,32,1742.4,
Vintage Cars,Q4,Nov,2003,46,2455.02,
Vintage Cars,Q4,Dec,2003,48,3053.28,
Vintage Cars,Q1,Jan,2004,33,1423.29,
Vintage Cars,Q1,Mar,2004,31,1504.12,
Vintage Cars,Q2,Apr,2004,20,1164.4,
Vintage Cars,Q2,Jun,2004,29,1500.75,
Vintage Cars,Q3,Aug,2004,27,1557.36,
Vintage Cars,Q3,Sep,2004,24,1345.68,
Vintage Cars,Q4,Oct,2004,37,1795.24,
Vintage Cars,Q4,Oct,2004,25,1105.25,
Vintage Cars,Q4,Nov,2004,41,2364.88,
Vintage Cars,Q4,Nov,2004,27,2427.03,
Vintage Cars,Q4,Nov,2004,21,1237.95,
Vintage Cars,Q4,Dec,2004,22,1593.02,
Vintage Cars,Q1,Jan,2005,32,3156.16,
Vintage Cars,Q1,Feb,2005,25,1320.75,
Vintage Cars,Q1,Mar,2005,42,4998,
Vintage Cars,Q2,May,2005,25,1293.75,
Classic Cars,Q1,Mar,2003,37,5433.08,
Classic Cars,Q2,May,2003,26,3073.72,
Classic Cars,Q3,Jul,2003,44,4380.2,
Classic Cars,Q3,Sep,2003,47,5848.68,
Classic Cars,Q4,Oct,2003,43,6153.73,
Classic Cars,Q4,Nov,2003,42,4965.24,
Classic Cars,Q4,Nov,2003,42,5435.64,
